symbol;timeframe;tag;active_hours;risk_factor;mode
EURUSD;mt5.TIMEFRAME_M1;metado_f1;None;0.3;mean_rev
USDJPY;mt5.TIMEFRAME_M1;metado_f2;None;0.3;mean_rev
GBPUSD;mt5.TIMEFRAME_M1;metado_f3;None;0.3;mean_rev
USDCHF;mt5.TIMEFRAME_M1;metado_f4;None;0.3;mean_rev
USDCAD;mt5.TIMEFRAME_M1;metado_f5;None;0.3;mean_rev
AUDUSD;mt5.TIMEFRAME_M1;metado_f6;None;0.3;mean_rev
NZDUSD;mt5.TIMEFRAME_M1;metado_f7;None;0.3;mean_rev
AUDCHF;mt5.TIMEFRAME_M1;metado_f8;None;0.3;mean_rev
EURUSD;mt5.TIMEFRAME_H1;metado_f1t;None;0.3;trend_follow
USDJPY;mt5.TIMEFRAME_H1;metado_f2t;None;0.3;trend_follow
GBPUSD;mt5.TIMEFRAME_H1;metado_f3t;None;0.3;trend_follow
USDCHF;mt5.TIMEFRAME_H1;metado_f4t;None;0.3;trend_follow
