iter	Passed	Remaining
0	0	249
1	1	198
2	1	185
3	2	174
4	2	166
5	3	160
6	3	156
7	4	154
8	4	152
9	5	148
10	5	147
11	6	144
12	6	142
13	6	140
14	7	137
15	7	135
16	8	133
17	8	132
18	8	131
19	9	130
20	9	130
21	10	130
22	10	129
23	11	129
24	11	128
25	12	128
26	12	127
27	13	128
28	13	127
29	14	126
30	14	127
31	15	126
32	15	125
33	15	124
34	16	123
35	16	122
36	17	121
37	17	120
38	17	120
39	18	119
40	18	119
41	19	118
42	19	117
43	20	116
44	20	115
45	20	115
46	21	114
47	21	114
48	22	113
49	22	112
50	22	112
51	23	111
52	23	110
53	24	110
54	24	109
55	24	108
56	25	107
57	25	107
58	26	106
59	26	106
60	26	105
61	27	105
62	27	105
63	28	104
64	28	104
65	29	103
66	29	102
67	30	102
68	30	101
69	30	101
70	31	100
71	31	100
72	32	99
73	32	99
74	33	99
75	33	99
76	34	98
77	34	98
78	35	98
79	35	97
80	36	97
81	36	96
82	36	96
83	37	95
84	37	95
85	38	94
86	38	94
87	38	93
88	39	93
89	39	93
90	40	92
91	40	92
92	41	91
93	41	91
94	42	91
95	42	91
96	43	90
97	43	90
98	44	89
99	44	89
100	44	88
101	45	88
102	45	87
103	46	87
104	46	86
105	47	86
106	47	85
107	48	85
108	48	84
109	48	84
110	49	83
111	49	83
112	50	82
113	50	82
114	50	81
115	51	81
116	51	80
117	52	80
118	52	79
119	52	79
120	53	78
121	53	78
122	54	77
123	54	77
124	54	76
125	55	76
126	55	75
127	56	75
128	56	75
129	57	74
130	57	74
131	57	73
132	58	73
133	58	72
134	59	72
135	59	71
136	59	71
137	60	70
138	60	70
139	61	69
140	61	69
141	61	68
142	62	68
143	62	68
144	63	67
145	63	67
146	64	66
147	64	66
148	65	66
149	65	65
150	66	65
151	66	64
152	67	64
153	67	63
154	67	63
155	68	63
156	68	62
157	69	62
158	69	61
159	69	61
160	70	60
161	70	60
162	71	60
163	71	59
164	72	59
165	73	59
166	73	58
167	74	58
168	75	58
169	75	57
170	75	57
171	76	56
172	76	56
173	77	55
174	77	55
175	77	54
176	78	54
177	78	53
178	79	53
179	79	52
180	79	52
181	80	52
182	80	51
183	80	51
184	81	50
185	81	50
186	82	49
187	82	49
188	82	48
189	83	48
190	83	47
191	83	47
192	84	46
193	84	46
194	85	45
195	85	45
196	86	45
197	86	44
198	87	44
199	87	43
200	88	43
201	88	43
202	89	42
203	89	42
204	90	41
205	90	41
206	91	41
207	91	40
208	92	40
209	92	39
210	92	39
211	93	38
212	93	38
213	94	37
214	94	37
215	95	37
216	95	36
217	96	36
218	96	35
219	96	35
220	97	34
221	97	34
222	98	33
223	98	33
224	99	33
225	99	32
226	99	32
227	100	31
228	100	31
229	101	30
230	101	30
231	101	29
232	102	29
233	102	28
234	103	28
235	103	28
236	103	27
237	104	27
238	104	26
239	105	26
240	105	25
241	106	25
242	106	25
243	107	24
244	107	24
245	107	23
246	108	23
247	108	22
248	109	22
249	109	21
250	109	21
251	110	20
252	110	20
253	110	20
254	111	19
255	111	19
256	112	18
257	112	18
258	112	17
259	113	17
260	113	16
261	113	16
262	114	16
263	114	15
264	115	15
265	115	14
266	115	14
267	116	13
268	116	13
269	117	13
270	117	12
271	117	12
272	118	11
273	118	11
274	119	10
275	119	10
276	119	9
277	120	9
278	120	9
279	120	8
280	121	8
281	121	7
282	121	7
283	122	6
284	122	6
285	123	6
286	123	5
287	123	5
288	124	4
289	124	4
290	124	3
291	125	3
292	125	3
293	126	2
294	126	2
295	127	1
296	127	1
297	127	0
298	128	0
299	128	0
