threshold,alpha,n_active,n_bias,n_linear,n_quadratic,n_interaction,train_rmse,train_spearman,train_r2,test_rmse,test_mae,test_spearman,test_pearson,test_directional,test_r2
0.01,0.0001,61,1,5,10,45,0.962993722765589,0.09215606182767419,0.01011719837571512,1.0286354055727354,0.8835886367246175,-0.018187715848214037,-0.026265509024411663,0.47842401500938087,-0.014099481396751434
0.01,0.001,61,1,5,10,45,0.962993722765589,0.09215606182767419,0.01011719837571512,1.0286354055727354,0.8835886367246175,-0.018187715848214037,-0.026265509024411663,0.47842401500938087,-0.014099481396751434
0.01,0.005,60,1,5,10,44,0.9629945626526538,0.09195762297992255,0.010115471697537237,1.028598468945189,0.8835917400805794,-0.01669265813732214,-0.025852522615648528,0.47654784240150094,-0.014026653372130271
0.01,0.01,59,1,5,10,43,0.9629953671805568,0.09196211093320181,0.010113817710926565,1.0286932508937918,0.8836555833314397,-0.017059587223006184,-0.027115412043482206,0.474671669793621,-0.014213540390181523
0.01,0.05,60,1,6,10,43,0.962994753559668,0.09201204011999552,0.010115079221970302,1.028690480636155,0.8836869100114163,-0.014149910898839949,-0.02720925673078557,0.4803001876172608,-0.01420807786960987
0.01,0.1,59,1,6,10,42,0.963020241104661,0.09239199911266012,0.01006268003653299,1.02883379746772,0.8839055931044812,-0.014513115218427417,-0.029117806246122792,0.47654784240150094,-0.01449069585097007
0.01,0.5,61,0,7,10,44,0.9630798090655228,0.09150725041472894,0.009940210396177762,1.0300134686479863,0.8850592284163455,-0.023314341252925728,-0.03457723215030737,0.49530956848030017,-0.01681848008810216
0.01,1.0,60,0,7,10,43,0.9632459286149428,0.09064442354680621,0.009598634404263673,1.030292982508037,0.8855101622313005,-0.031219483664998663,-0.04069761727242907,0.49906191369606,-0.0173704212627801
0.02,0.0001,54,0,4,10,40,0.9631176477623433,0.09218014350565137,0.00986241142708133,1.0297428684110428,0.8847678681356003,-0.022307069400000414,-0.030861252530385064,0.49906191369606,-0.01628428284351946
0.02,0.001,54,0,4,10,40,0.9631176477623433,0.09218014350565137,0.00986241142708133,1.0297428684110428,0.8847678681356003,-0.022307069400000414,-0.030861252530385064,0.49906191369606,-0.01628428284351946
0.02,0.005,54,0,4,10,40,0.9631033067343406,0.09184603218424398,0.009891897928963611,1.0298718679827294,0.8847764249402955,-0.02516753126148635,-0.03248888368082121,0.4878048780487805,-0.016538925925629222
0.02,0.01,54,0,4,10,40,0.9631078672555629,0.09173411170575047,0.009882521116173049,1.0299385628361422,0.884807006227046,-0.026056323852403532,-0.03355586836750681,0.4878048780487805,-0.016670593003969447
0.02,0.05,52,0,4,9,39,0.963165841611976,0.09091106007229581,0.009763317124169557,1.0300098947713987,0.8850287285727758,-0.02934188455095409,-0.03539094504820349,0.49530956848030017,-0.016811423913468015
0.02,0.1,53,0,4,9,40,0.9631552706827503,0.0918949874738286,0.009785053078657402,1.0299761193300299,0.8849206394275164,-0.02919249765537862,-0.03457798631419177,0.49530956848030017,-0.016744739716112678
0.02,0.5,53,0,4,10,39,0.9631768267164715,0.09245434586340064,0.00974072928934655,1.0301834278219195,0.885365514067215,-0.025805813519823126,-0.03800382301246157,0.50093808630394,-0.017154071596784393
0.02,1.0,52,0,4,9,39,0.9634626733123663,0.08949590294819139,0.009152874107201114,1.030341131627455,0.8859386204651829,-0.03869485146980063,-0.04673435121543461,0.49343339587242024,-0.01746551389248352
0.05,0.0001,52,0,4,9,39,0.9633112694074959,0.0891790669255373,0.009464264139845024,1.029747538768779,0.8849706430630074,-0.021478269318340862,-0.03610976539869717,0.49343339587242024,-0.01629350149814024
