horizon,model,rmse,mae,pearson,spearman,directional_accuracy,folds,n_oos,r2
12h,Best_PySINDy_poly2_stlsq_002,1.0005282362938306,0.8727294011521327,0.013849067794366078,0.02968965484901818,0.5020541324311262,6,8276,
12h,DecisionTree_depth3,0.9920061458217124,0.8689675473272446,0.027031942952362806,0.02723728579184507,0.5050749154180764,6,8276,-0.01012913587039721
12h,RandomForest_depth3,0.9887106469781007,0.8670137288461955,0.0245687352063311,0.023452278620827282,0.5021749637506041,6,8276,-0.003428874882792643
12h,RandomForest_depth4,0.9894110025745999,0.8673088507499459,0.022147091748889184,0.021985210496395877,0.5044707588206864,6,8276,-0.004850940944665094
12h,DecisionTree_depth4,0.9950286625503468,0.8701229175585863,0.018879115290079622,0.014681737816891593,0.4960125664572257,6,8276,-0.01629398369348478
12h,XGBoost_depth4,0.9976509884976225,0.8715645812708772,0.01983453841897778,0.013493426704585752,0.500724987916868,6,8276,-0.0216577806621725
12h,XGBoost_depth3,0.9947142219845028,0.8700935993725686,0.017287875886353568,0.010480098294946972,0.49782503624939584,6,8276,-0.015651763877406744
24h,Best_PySINDy_poly2_stlsq_005,0.9847658959355932,0.8306597281384962,0.01663005695988489,0.01859563702017766,0.5057999033349444,6,8276,
24h,DecisionTree_depth4,0.9789727020517347,0.8266325948134412,0.0176212089174953,0.014382342356031665,0.5051957467375544,6,8276,-0.018771034434999168
24h,XGBoost_depth4,0.9844532262260496,0.8297696579145116,0.009043564066902406,0.008857876046000317,0.5076123731271146,6,8276,-0.030209612600205826
24h,XGBoost_depth3,0.9806273168184302,0.8277874487260114,0.008313871355452356,0.006233970792146128,0.5054374093765104,6,8276,-0.022217704843740638
24h,DecisionTree_depth3,0.9780942979988918,0.8263084154072612,0.0008277705068529689,0.004219625157579973,0.5021749637506041,6,8276,-0.016943626739173157
24h,RandomForest_depth4,0.9746472700493426,0.8246502924894458,-0.009355791179547638,-0.005911353397389226,0.49806669888835187,6,8276,-0.009788373635760461
24h,RandomForest_depth3,0.9740418038289256,0.8244269639248648,-0.015589118497199541,-0.011532146790088833,0.49951667472208794,6,8276,-0.00853417046833771
4h,Best_PySINDy_poly2_stlsq_005,1.0121153033873687,0.9992696088015806,0.0059558785368581165,0.027670396098822863,0.5157080715321412,6,8276,
4h,DecisionTree_depth3,1.0034172992924837,0.9975752327795006,0.022427276468864173,0.02478496939444563,0.5182455292411793,6,8276,-0.006851075204671986
4h,RandomForest_depth3,0.9994301392772111,0.99750392530114,0.040427449923410325,0.022217604758808483,0.5219913001449976,6,8276,0.0011346360792459098
4h,DecisionTree_depth4,1.005015753494494,0.9963208286885802,0.027859561393980405,0.02101852559641284,0.5152247462542291,6,8276,-0.01006147875824448
4h,RandomForest_depth4,0.9998172885279285,0.9975761735272495,0.03634826300397957,0.020423678942826227,0.5188496858385694,6,8276,0.0003606252466115123
4h,XGBoost_depth3,1.0057988860754785,0.9981281266235835,0.015025275306926548,0.0049144940032006205,0.5128081198646689,6,8276,-0.011636220722084145
4h,XGBoost_depth4,1.0091098825803773,0.9982741892096922,0.01163289014481477,0.0027185427251319462,0.514016433059449,6,8276,-0.018307608408846043
